Current,InstanceType,Manufacturer,MemoryMiB,VCpus,Price
TRUE,inf2.8xlarge,AMD,131072,32,$1.97
TRUE,g6.8xlarge,AMD,131072,32,$2.01
TRUE,g5.8xlarge,AMD,131072,32,$2.45
TRUE,m6g.8xlarge,AWS,131072,32,$1.23
TRUE,m7g.8xlarge,AWS,131072,32,$1.31
TRUE,m8g.8xlarge,AWS,131072,32,$1.44
TRUE,m6gd.8xlarge,AWS,131072,32,$1.45
TRUE,hpc7g.8xlarge,AWS,131072,32,$1.68
TRUE,m7gd.8xlarge,AWS,131072,32,$1.71
TRUE,m8gd.8xlarge,AWS,131072,32,$1.85
TRUE,im4gn.8xlarge,AWS,131072,32,$2.91
TRUE,m7i.8xlarge,Intel,131072,32,$1.61
TRUE,h1.8xlarge,Intel,131072,32,$1.87
TRUE,m6id.8xlarge,Intel,131072,32,$1.90
TRUE,m5n.8xlarge,Intel,131072,32,$1.90
TRUE,g4dn.8xlarge,Intel,131072,32,$2.18
TRUE,m6in.8xlarge,Intel,131072,32,$2.23
TRUE,m6idn.8xlarge,Intel,131072,32,$2.55
TRUE,m5dn.8xlarge,Intel,131072,32,$2.72
TRUE,d3en.8xlarge,Intel,131072,32,$4.21
TRUE,m7i-flex.8xlarge,Intel,131072,32,$5.37
TRUE,m5.8xlarge,Intel,131072,32,$5.38
TRUE,m6i.8xlarge,Intel,131072,32,$5.38
TRUE,m5d.8xlarge,Intel,131072,32,$5.65
TRUE,is4gen.8xlarge,AWS,196608,32,$4.61
TRUE,i3.8xlarge,Intel,249856,32,$3.04
TRUE,p3.8xlarge,Intel,249856,32,$12.24
TRUE,r5a.8xlarge,AMD,262144,32,$1.81
TRUE,r6a.8xlarge,AMD,262144,32,$1.81
TRUE,r7a.8xlarge,AMD,262144,32,$2.43
TRUE,gr6.8xlarge,AMD,262144,32,$2.45
TRUE,r5ad.8xlarge,AMD,262144,32,$2.64
TRUE,g6e.8xlarge,AMD,262144,32,$4.53
TRUE,r6g.8xlarge,AWS,262144,32,$1.61
TRUE,r7g.8xlarge,AWS,262144,32,$1.71
TRUE,r6gd.8xlarge,AWS,262144,32,$1.84
TRUE,r8g.8xlarge,AWS,262144,32,$1.89
TRUE,r7gd.8xlarge,AWS,262144,32,$2.18
TRUE,r8gd.8xlarge,AWS,262144,32,$2.35
TRUE,i4g.8xlarge,AWS,262144,32,$2.47
TRUE,i8g.8xlarge,AWS,262144,32,$2.75
TRUE,r5.8xlarge,Intel,262144,32,$2.02
TRUE,r7i.8xlarge,Intel,262144,32,$2.12
TRUE,r5d.8xlarge,Intel,262144,32,$2.30
TRUE,r5n.8xlarge,Intel,262144,32,$2.38
TRUE,r6i.8xlarge,Intel,262144,32,$2.56
TRUE,r5b.8xlarge,Intel,262144,32,$2.92
TRUE,r6idn.8xlarge,Intel,262144,32,$3.13
TRUE,r6in.8xlarge,Intel,262144,32,$3.33
TRUE,r7iz.8xlarge,Intel,262144,32,$3.52
TRUE,i7i.8xlarge,Intel,262144,32,$3.56
TRUE,d3.8xlarge,Intel,262144,32,$4.00
TRUE,r6id.8xlarge,Intel,262144,32,$6.26
TRUE,r5dn.8xlarge,Intel,262144,32,$6.51
TRUE,i4i.8xlarge,Intel,262144,32,$6.59
TRUE,x2gd.8xlarge,AWS,524288,32,$2.67
TRUE,x8g.8xlarge,AWS,524288,32,$3.13
TRUE,x1e.8xlarge,Intel,999424,32,$6.67
TRUE,x2iedn.8xlarge,Intel,1048576,32,$6.67
TRUE,x2iezn.8xlarge,Intel,1048576,32,$7.21
TRUE,c5.9xlarge,Intel,73728,36,$1.53
TRUE,c5d.9xlarge,Intel,73728,36,$1.73
TRUE,c5n.9xlarge,Intel,98304,36,$6.26
TRUE,c5ad.12xlarge,AMD,98304,48,$2.06
TRUE,c5a.12xlarge,AMD,98304,48,$2.66
TRUE,c7a.12xlarge,AMD,98304,48,$3.27
TRUE,c6a.12xlarge,AMD,98304,48,$7.60
TRUE,c6g.12xlarge,AWS,98304,48,$1.63
